0Replay_id,Cluster
4-2-2-63454-5-2018-03-28T16-40-06-564,3
4-2-1-62848-5-2018-03-09T15-25-20-446,0
4-2-1-62848-5-2018-03-27T04-57-59-429,1
4-2-2-63454-5-2018-03-28T21-08-50-730,0
4-2-1-62848-5-2018-03-27T08-40-03-529,3
4-2-1-62848-5-2018-03-09T18-47-34-686,0
4-2-1-62848-5-2018-03-27T08-52-58-281,0
4-2-2-63454-5-2018-03-28T21-56-51-472,0
4-2-1-62848-5-2018-03-09T20-07-20-625,0
4-2-1-62848-5-2018-03-27T11-51-38-258,1
4-2-1-62848-5-2018-03-27T11-58-32-357,0
4-2-1-62848-5-2018-03-27T12-02-58-282,2
4-2-1-62848-5-2018-03-27T12-39-38-1006,3
4-2-1-62848-5-2018-03-10T00-11-34-779,0
4-2-1-62848-5-2018-03-27T12-43-59-870,0
4-2-2-63454-5-2018-03-29T01-49-57-607,0
4-2-1-62848-5-2018-03-10T00-13-02-445,3
4-2-1-62848-5-2018-03-27T12-57-26-629,3
4-2-1-62848-5-2018-03-27T13-00-49-422,0
4-2-1-62848-5-2018-03-27T13-06-27-249,0
4-2-1-62848-5-2018-03-10T02-25-00-305,3
4-2-2-63454-5-2018-03-29T07-40-39-363,3
4-2-1-62848-5-2018-03-27T16-52-47-377,0
4-2-1-62848-5-2018-03-27T18-27-15-317,1
4-2-1-62848-5-2018-03-27T18-38-01-688,3
4-2-1-62848-6-2018-03-07T08-47-31-572,0
4-2-1-62848-6-2018-03-07T08-52-00-403,0
4-2-1-62848-6-2018-03-07T08-59-39-1036,0
4-2-2-63454-5-2018-03-29T14-33-53-993,3
4-2-1-62848-5-2018-03-10T08-05-55-398,3
4-2-1-62848-6-2018-03-07T09-08-48-342,0
4-2-1-62848-6-2018-03-07T09-12-22-292,3
4-2-1-62848-6-2018-03-07T09-21-22-652,0
4-2-1-62848-6-2018-03-07T09-24-57-992,0
4-2-1-62848-5-2018-03-10T09-24-51-517,0
4-2-1-62848-6-2018-03-07T09-54-51-762,2
4-2-1-62848-6-2018-03-07T10-26-03-757,0
4-2-1-62848-6-2018-03-07T10-28-25-616,0
4-2-1-62848-6-2018-03-07T18-22-27-1651,0
4-2-1-62848-5-2018-03-10T11-57-46-358,3
4-2-2-63454-5-2018-03-29T22-26-52-294,3
4-2-1-62848-6-2018-03-07T19-12-07-739,3
4-2-2-63454-5-2018-03-29T22-27-48-290,0
4-2-2-63454-5-2018-03-29T23-57-00-356,1
4-2-1-62848-6-2018-03-08T04-36-13-282,3
4-2-1-62848-6-2018-03-08T05-05-34-401,0
4-2-1-62848-6-2018-03-08T08-20-55-519,3
4-2-1-62848-6-2018-03-08T09-21-29-275,0
4-2-1-62848-6-2018-03-08T09-53-44-618,3
4-2-1-62848-6-2018-03-08T10-29-36-881,0
4-2-1-62848-6-2018-03-08T12-04-47-305,0
4-2-1-62848-6-2018-03-08T12-11-39-271,0
4-2-1-62848-5-2018-03-10T15-17-27-515,0
4-2-1-62848-6-2018-03-08T12-44-20-381,3
4-2-1-62848-6-2018-03-08T12-48-32-646,2
4-2-2-63454-5-2018-03-30T08-00-32-326,1
4-2-1-62848-6-2018-03-08T13-43-57-379,0
4-2-1-62848-5-2018-03-10T15-44-23-851,3
4-2-1-62848-6-2018-03-08T14-29-41-275,3
4-2-1-62848-6-2018-03-08T14-39-32-605,3
4-2-1-62848-6-2018-03-08T14-48-32-405,3
4-2-2-63454-5-2018-03-30T08-32-42-255,1
4-2-1-62848-6-2018-03-08T14-58-17-914,3
4-2-2-63454-5-2018-03-30T08-46-31-700,1
4-2-1-62848-6-2018-03-08T15-04-48-526,0
4-2-1-62848-6-2018-03-08T15-12-02-640,0
4-2-1-62848-5-2018-03-10T16-22-07-387,3
4-2-1-62848-5-2018-03-10T17-05-40-386,0
4-2-1-62848-6-2018-03-08T15-36-54-694,3
4-2-2-63454-5-2018-03-30T09-03-18-959,1
